,Startups,"Netherlands, GDP [thousands]","Netherlands, Three month money market rate","Netherlands, Eurostat, HICP, All-Items HICP, 2015=100, Index","Netherlands, OECD Economic Outlook, Hours Worked per Worker, Total Economy, Estimate, Calendar Adjusted, SA","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Credit Standards Past 3 Months, Enterprises, Total","Euro Area 19, Long term interest rate","World, Crude Oil, Brent, Spot, FOB North Sea, ICE, Close, USD"
1/1/2006,,180,2.6,86,1443,0,3.5,63
4/1/2006,,183,2.9,87,1433,0,4.0,70
7/1/2006,,184,3.2,87,1440,-20,3.9,71
10/1/2007,,185,3.6,87,1438,20,3.8,61
1/1/2007,46865.0,188,3.8,88,1448,20,4.1,58
4/1/2007,50110.0,189,4.1,89,1446,0,4.4,69
7/1/2007,43325.0,191,4.5,88,1437,0,4.4,74
10/1/2007,35945.0,194,4.7,89,1434,60,4.3,88
1/1/2008,33460.0,195,4.5,89,1441,60,4.1,96
4/1/2008,47585.0,195,4.9,91,1439,60,4.4,122
7/1/2008,40790.0,195,5.0,91,1433,60,4.5,118
10/1/2008,43670.0,192,4.2,91,1436,75,3.9,58
1/1/2009,28810.0,188,2.0,91,1434,100,3.7,45
4/1/2009,56190.0,186,1.3,92,1429,80,3.9,59
7/1/2009,47575.0,186,0.9,91,1421,60,3.7,69
10/1/2009,55880.0,188,0.7,91,1426,20,3.6,75
1/1/2010,24560.0,188,0.7,91,1419,40,3.5,77
4/1/2010,57665.0,189,0.7,93,1422,33,3.4,80
7/1/2010,42375.0,190,0.9,92,1436,14,3.1,77
10/1/2010,36630.0,191,1.0,92,1433,14,3.4,87
1/1/2011,36240.0,193,1.1,93,1428,-14,3.9,105
4/1/2011,48040.0,193,1.4,95,1410,-14,4.0,117
7/1/2011,37745.0,193,1.6,95,1431,-29,3.7,112
10/1/2011,44740.0,192,1.5,95,1436,14,3.8,109
1/1/2012,35850.0,192,1.0,96,1424,14,3.5,118
4/1/2012,52025.0,192,0.7,97,1424,14,3.4,110
7/1/2012,37180.0,191,0.4,97,1416,0,3.2,109
10/1/2012,31055.0,190,0.2,98,1414,29,2.8,110
1/1/2013,36055.0,190,0.2,99,1417,29,2.7,113
4/1/2013,44225.0,190,0.2,100,1431,43,2.5,103
7/1/2013,40880.0,191,0.2,100,1428,43,2.8,110
10/1/2013,34955.0,193,0.2,99,1431,14,2.7,109
1/1/2014,38875.0,193,0.3,99,1437,0,2.5,108
4/1/2014,46320.0,194,0.3,100,1418,-14,2.1,110
7/1/2014,40605.0,194,0.2,100,1441,0,1.7,104
10/1/2014,33500.0,196,0.1,99,1439,14,1.3,77
1/1/2015,38735.0,197,0.1,99,1432,14,0.8,55
4/1/2015,46895.0,198,0.0,101,1432,-14,1.0,63
7/1/2015,41610.0,199,0.0,101,1439,0,1.2,51
10/1/2015,35710.0,199,-0.1,100,1445,0,1.0,45
1/1/2016,39725.0,200,-0.2,99,1446,0,0.8,35
4/1/2016,47970.0,202,-0.3,100,1452,0,0.7,47
7/1/2016,42580.0,204,-0.3,100,1437,0,0.4,47
10/1/2016,36540.0,205,-0.3,100,1450,0,0.8,51
1/1/2017,40735.0,207,-0.3,100,1444,17,1.1,55
4/1/2017,44650.0,208,-0.3,102,1457,0,1.0,51
7/1/2017,42765.0,209,-0.3,102,1453,0,1.0,52
10/1/2017,40075.0,211,-0.3,102,1444,0,0.9,61
1/1/2018,42985.0,212,-0.3,102,1444,0,1.0,67
4/1/2018,49260.0,213,-0.3,103,1444,0,1.0,75
7/1/2018,48860.0,214,-0.3,104,1455,0,1.1,76
10/1/2018,43030.0,214,-0.3,104,1451,-17,1.2,68
1/1/2019,50115.0,217,-0.3,104,1452,-17,0.9,64
4/1/2019,55565.0,218,-0.3,106,1450,-17,0.6,68
7/1/2019,54635.0,219,-0.4,107,1451,-17,0.0,62
10/1/2019,47190.0,219,-0.4,106,1455,-17,0.1,62
1/1/2020,56665.0,217,-0.4,106,1374,-17,0.1,51
4/1/2020,53545.0,199,-0.3,107,1419,-17,0.2,34
7/1/2020,45985.0,212,-0.5,108,1409,33,0.0,43
10/1/2020,52360.0,212,-0.5,107,1413,33,-0.2,45
1/1/2021,57045.0,214,-0.5,107,1417,33,-0.1,61
4/1/2021,61145.0,223,-0.5,109,1432,17,0.1,69
7/1/2021,58895.0,227,-0.6,110,1399,-17,0.0,73
10/1/2021,54765.0,227,-0.6,113,1400,0,0.1,80
1/1/2022,58325.0,230,-0.5,117,1422,0,0.6,98
4/1/2022,60240.0,236,-0.4,121,1411,17,1.7,111
7/1/2022,61470.0,236,0.5,126,1416,33,2.1,97
10/1/2022,60195.0,235,1.8,128,1414,17,2.8,88
1/1/2023,63015.0,235,2.6,125,1417,0,3.0,82
4/1/2023,66970.0,234,3.4,128,1414,17,3.0,78
7/1/2023,64570.0,233,3.8,129,1413,0,3.2,86
10/1/2023,61245.0,234,4.0,128,1408,0,3.1,83
1/1/2024,57750.0,233,3.9,129,1401,0,2.8,82
4/1/2024,60065.0,236,3.8,132,1402,0,3.1,85
