,"All Economic Activities, Total Business Start-Ups","All Economic Activities, 1 Employed Person or Less","All Economic Activities, 2 to 10 Employed Persons","All Economic Activities, 10 to 50 Employed Persons","All Economic Activities, 50 to 250 Employed Persons","All Economic Activities, 250 Employees or More","Netherlands, Gross Domestic Product, Total, Total, Constant Prices, SA, EUR [billions]","Netherlands, GDP [thousands]","Netherlands, Interbank Rates, EURIBOR, 1 Month, Fixing","Netherlands, Three month money market rate","Netherlands, Policy Rates, ECB, Fixed Rate Tenders","Netherlands, Eurostat, HICP, All-Items HICP, 2015=100, Index","Netherlands, Employment","Netherlands, Monetary Statistics, Monetary Aggregates, M3, Total (incl. Currency in Circulation), EUR [billions]","Netherlands, Eurostat, Consumer Surveys, Eurostat, Consumer Confidence, Price Trends Over the Next 12 Months","Netherlands, Composite PMI, EUR","Netherlands, OECD Economic Outlook, Hours Worked per Worker, Total Economy, Estimate, Calendar Adjusted, SA","Netherlands, Total hours worked","Netherlands, Eurostat, Employment & Unemployment, Unemployment, LFS Adjusted Series, Unemployment by Sex & Age - Monthly Average, Males & Females, All Ages, Total, Percentage of Active Population, SA","Netherlands, Unemployment","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Credit Standards Past 3 Months, Enterprises, Total","Netherlands, Lending Surveys, Central Bank of Netherlands, Bank Lending Survey, Demand for Loans Past 3 Months, Enterprises, Total","Netherlands, BIS Credit to Non-Financial Sectors, From All Sectors To Non Financial Sector, Market Value, Adjusted for Breaks, EUR [billions]","Netherlands, Deposits & Loans, MFIs, Loans, By Entity, to Euro Area Residents, Private Sector, Non-Financial Private Corporations, Total, EUR [billions]","Netherlands, Wages & Salaries, Wages, Hourly, Total, Incl. Bonus, Index","Netherlands, Producer Price Index, C Manufactured Products, Index","Netherlands, OECD MEI, Producer Prices Index, Economic Activities, Manufacturing, Total, Index","Netherlands, DG ECFIN AMECO, Population & Employment, Unemployment, NAWRU, Estimate","Netherlands, Gross Domestic Product, Total, Total, Current Prices, SA, EUR [billions]","Netherlands, Nominal GDP [thousands]","Netherlands, Government Benchmarks, Macrobond, 5 Year, Yield","Euro Area, Swap Rates, Macrobond, EUR, 5 Year, Mid","Euro Area 19, Long term interest rate","Netherlands, ECB, Interest Rates, MFI Interest Rates, Non-Financial Corporations, Loans (Cost Borrowing Indicator, Sum of A2A & A2Z (Non-Financial Corporations)), Annualised Agreed Rate (AAR) / Narrowly Defined Effective Rate (NDER), Total Calculated by Weighting the Volumes with a Moving Average, Total, New Business, Currency Denominator: Euro","Netherlands, Income Approach, Total Economy, Operating Surplus, Net, Current Prices, SA, EUR [billions]","Netherlands, OECD QNA, Gross Domestic Product, Gross Domestic Product - Expenditure Approach, Final Consumption Expenditure, Private Final Consumption Expenditure, Total, OECD Reference Year, Constant Prices, SA, AR, EUR [billions]","Netherlands, Eurostat, Job Vacancy, Job Vacancy Rate, Total, Business Economy (B-N), SA","World, Crude Oil, Brent, Spot, FOB North Sea, ICE, Close, USD","Natural Gas, Dutch TTF Natural Gas (TTFI), Index, EUR"
1/1/2006,,,,,,,180,180,2.5,2.6,2,86,8052,566,17,56,1443,356,6.4,6.4,0,40,1858.313,185.4,,,88,5,144,143,3.3,3.4,3.5,3.9,38,306,,63,
4/1/2006,,,,,,,183,183,2.7,2.9,3,87,8076,581,15,57,1433,357,6.1,6.1,0,0,1870.981,191.8,,,90,5,146,146,3.7,3.9,4.0,4.0,39,310,,70,
7/1/2006,,,,,,,184,184,3.1,3.2,3,87,8113,579,22,58,1440,358,5.9,5.9,-20,20,1899.01,193.4,,,91,5,148,148,3.7,3.9,3.9,4.3,39,310,,71,
10/1/2007,,,,,,,185,185,3.5,3.6,3,87,8177,609,26,56,1438,358,5.9,5.9,20,20,1898.546,208.0,,,89,5,150,151,3.7,3.9,3.8,4.7,40,309,,61,
1/1/2007,46865,38495,7735,565,70,0,188,188,3.7,3.8,4,88,8246,642,23,58,1448,358,5.6,5.6,20,20,1937.808,230.1,,,90,5,153,153,4.0,4.2,4.1,4.8,41,312,,58,
4/1/2007,50110,43255,6375,425,55,0,189,189,4.0,4.1,4,89,8318,650,25,58,1446,357,5.3,5.3,0,20,1955.707,236.3,,,93,5,154,154,4.3,4.5,4.4,5.0,43,313,,69,
7/1/2007,43325,33400,9290,580,55,0,191,191,4.3,4.5,4,88,8364,663,30,57,1437,357,5.2,5.2,0,20,1980.394,244.4,,,95,5,156,156,4.3,4.6,4.4,5.3,43,315,,74,
10/1/2007,35945,29740,5780,370,55,0,194,194,4.4,4.7,4,89,8401,665,41,55,1434,357,5.1,5.1,60,-40,1989.286,256.1,,,97,5,159,160,4.1,4.5,4.3,5.4,43,318,,88,
1/1/2008,33460,27395,5655,355,50,0,195,195,4.2,4.5,4,89,8467,657,39,53,1441,356,4.8,4.8,60,20,2041.363,274.9,,,99,5,161,162,3.7,4.1,4.1,5.3,43,316,3,96,
4/1/2008,47585,42220,4995,345,35,0,195,195,4.4,4.9,4,91,8519,691,35,52,1439,358,4.8,4.8,60,-20,2083.789,290.8,,,104,5,163,163,4.2,4.6,4.4,5.4,43,318,3,122,
7/1/2008,40790,33290,6990,460,50,0,195,195,4.5,5.0,4,91,8539,684,32,50,1433,358,4.7,4.7,60,-20,2103.671,300.3,,,105,5,164,163,4.3,4.8,4.5,5.6,43,317,3,118,
10/1/2008,43670,32395,10855,370,40,0,192,192,3.9,4.2,3,91,8569,691,16,43,1436,357,4.7,4.7,75,50,2186.972,298.4,,,95,5,163,164,3.3,3.8,3.9,5.1,43,316,3,58,
1/1/2009,28810,28190,585,25,10,0,188,188,1.7,2.0,2,91,8599,704,-10,38,1434,356,4.9,4.9,100,-60,2223.171,296.1,,,88,5,159,159,2.9,2.9,3.7,3.5,39,313,2,45,
4/1/2009,56190,50735,5230,205,20,0,186,186,0.9,1.3,1,92,8556,721,-11,42,1429,355,5.2,5.2,80,-20,2230.705,299.7,,,88,5,157,157,2.9,2.8,3.9,3.0,34,310,2,59,
